id,name
293zczrfYafIItmnmM3coR,Chuck Berry
2Q3eZMfDQgT8MhPowKFXYO,t.A.T.u.
4F84IBURUo98rz4r61KF70,The White Stripes
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande
5eAWCfyUhZtHHtBdNk56l1,System Of A Down
2qxJFvFYMEDqd7ui6kSAcq,Zedd
757aE44tKEUQEqRuT6GnEB,Roddy Ricch
4yiQZ8tQPux8cPriYMWUFP,Gwen Stefani
5xUf6j4upBrXZPg6AI4MRK,Soundgarden
0SwO7SWeDHJijQ3XNS7xEE,MGMT
3FUY2gzHeIiaesXtOAdB7A,Train
2EMAnMvWE2eb56ToJVfCWs,Bryson Tiller
6zFYqv1mOsgBRQbae3JJ9e,Billy Joel
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd
6FBDaR13swtiWwGhX1WQsP,blink-182
6Ghvu1VvMGScGpOUJBAHNH,Deftones
25u4wHJWxCA9vO0CzxAbK7,Lukas Graham
165ZgPlLkK7bf5bDoFc6Sb,Limp Bizkit
4dYQmk5ma04mZ1KJ9KkAQK,Kacy Hill
0PFtn5NtBbbUNbU9EAmIWF,TOTO
1Ml4OuStDoympbREURAM15,The Fontane Sisters
35U9lQaRWSQISxQAB94Meo,America
3WrFJ7ztbogyGnTHbHJFl2,The Beatles
0C0XlULifJtAgn6ZNCW2eu,The Killers
0HS96tPggl2nwiz3gNWWI5,Mitchell Ayres & His Orchestra
1GxkXlMwML1oSg5eLPiAz3,Michael Bublé
5y2Xq6xcjJb2jVM54GHK3t,John Legend
0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd
4lxfqrEsLX6N1N4OCSkILp,Phil Collins
73Np75Wv2tju61Eo9Zw4IR,Idina Menzel
4gzpq5DPGxSnKTe4SA8HAU,Coldplay
4Fgf6RvuWpiwDXSE7Vammx,George Martin
49bzE5vRBRIota4qeHtQM8,Skillet
0wi4yTYlGtEnbGo4ltZTib,Shakin' Stevens
6ZjFtWeHP9XN7FeKSUe80S,Bing Crosby
2cGwlqi3k18jFpUyTrsR84,The Verve
5lpH0xAS4fVfLkACg9DAuM,Wham!
3yY2gUcIsjMr8hjo51PoJ8,The Smiths
4YLtscXsxbVgi031ovDDdh,Chris Stapleton
0HU0U9kdXEHZVxUNbuQe8S,Donny Hathaway
43sZBwHjahUvgbx1WNIkIz,Creed
7H55rcKCfwqkyDFH9wpKM6,Christina Perri
0xliTEbFfy5HQHvsTknTkX,Alphaville
1AwO9pWEBSBoWdEZu28XDC,Eartha Kitt
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic
7jy3rLJdDQY21OgRLCZ9sD,Foo Fighters
2NCGI6dLTxLdI9XHdv7QfM,The Andrews Sisters
4dpARuHxo51G3z768sgnrY,Adele
687cZJR45JO7jhk1LHIbgq,Tems
6QtgPSJPSzcnn7dPZ4VINp,King Von
4bthk9UfsYUYdcFyqxmSUU,Tears For Fears
1gl0S9pS0Zw0qfa14rDD3D,Surf Curse
2auikkNYqigWStoHWK1Grq,John Martin
37w38cCSGgKLdayTRjna4W,Mazzy Star
0XNa1vTidXlvJ2gHSsRi4A,Franz Ferdinand
711MCceyCBcFnzjGY4Q7Un,AC/DC
7CajNmpbOovFoOoasH2HaY,Calvin Harris
